# Stage 6D-A4 — REAL PRODUCER-AUTHORED corpus provenance. Files were fetched to scratch storage and deleted; none is committed.
# Reference-test sources (3MF Consortium test_suites, 3mf-samples, lib3mf, assimp, tinyobjloader, numpy-stl, admesh, CuraEngine) are summarised in the Stage 6D-A4 design section.
# class	source	commit	path	bytes	sha256	format	zip	production_path	required_ext	application	expected	actual	parts	triangles
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/cartesio_platform.3mf	13832	8329a488d6641718	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	1896
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/cr-x.3mf	177949	641818099994eb4e	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	19670
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/creality_cr10spro.3mf	132353	ae0bf87e31a50966	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	17344
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/creality_ender3.3mf	25897	53589554de443179	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	2840
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/creality_ender3max.stl	323684	44cd81d2113187fb	stl	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	6472
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/cremaker_platform_200.obj	50252	52f8d3782efd902c	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	1060
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/cremaker_platform_220.obj	50252	a34bccb60a30a4e5	obj	-	-	-	-	import (refuse OBJ polygons by policy)	imported	1	1060
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/dagoma_discoeasy200.3mf	108334	750f460a09410674	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	10898
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/dagoma_discoeasy200_bicolor.3mf	194973	5d27dea5bc362f23	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	20194
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/dagoma_discoultimate.3mf	134591	657e908f63b4aef1	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	13454
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/dagoma_discoultimate_bicolor.3mf	197388	3194f62def8bbbb3	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	20256
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/dagoma_magis.3mf	103193	af99c6e7718cd3d5	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	13166
REAL PRODUCER-AUTHORED	github.com/Ultimaker/Cura	72521b78f085	resources/meshes/dagoma_neva.3mf	91623	8b080fb7ab581573	3mf	zip32	no	-	-	import (refuse OBJ polygons by policy)	imported	1	9486
